Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
Aguiar et al. 2007,-53.32694444,-22.78777778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2347,295,area,1,0,43.40486731,21,54
Aguiar et al. 2007,-53.30694444,-22.84361111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2343,85,area,1,0,51.05885061,17,55
Aguiar et al. 2007,-53.26361111,-22.75555556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2337,1,area,0,31.12649427,58.80971977,11,56
Aguiar et al. 2007,-53.35527778,-22.8,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2354,2,area,0,62.25298853,78.09000682,28,57
Aguiar et al. 2007,-53.3825,-22.80055556,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2356,300,area,1,0,90.29762575,30,58
Aguiar et al. 2007,-53.33472222,-22.86027778,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2349,40,area,1,0,117.8132113,23,59
Aguiar et al. 2007,-53.33583333,-22.87861111,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2350,39,area,1,0,128.2768846,24,60
Aguiar et al. 2007,-53.31388889,-22.78583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2345,210,area,1,0,182.0485395,19,61
Aguiar et al. 2007,-53.21166667,-22.72583333,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2332,56,area,1,0,188.4430065,6,62
Aguiar et al. 2007,-53.34222222,-22.79388889,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,a,Alouatta_caraya_a,2351,138,area,0,31.12649427,217.7025376,25,63
