Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
Aguiar et al. 2007,-53.215,-22.79388889,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3162,75,75
Aguiar et al. 2007,-53.21666667,-22.79277778,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3163,75,75
Aguiar et al. 2007,-53.22583333,-22.73833333,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3164,75,75
Aguiar et al. 2007,-53.25805556,-22.81194444,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3165,75,75
Aguiar et al. 2007,-53.26361111,-22.75555556,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3166,75,75
Aguiar et al. 2007,-53.26638889,-22.73888889,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3167,75,75
Aguiar et al. 2007,-53.27861111,-22.70388889,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3168,75,75
Aguiar et al. 2007,-53.28305556,-22.75694444,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3169,75,75
Aguiar et al. 2007,-53.28361111,-22.77666667,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3170,75,75
Aguiar et al. 2007,-53.30305556,-22.72472222,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,0,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3171,75,75
Aguiar et al. 2007,-53.30694444,-22.84361111,Brazil,Neotropics,Cebidae,Cebus,Cebus nigritus,Sapajus_nigritus,1,2006,Tropical_and_suptropical_moist_broadleaf_forest,Sapajus nigritus,Near Threatened,147,a,Sapajus_nigritus_a,3172,75,75
