Source,X,Y,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Occurrence,Sample_yea,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2,row_id_3
"Gestich, 2016",-47.82331667,-21.396725,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5651,75,75,46,area,1,0,215.2092935,9,76,61
"Gestich, 2016",-47.85143889,-21.82875,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5647,75,75,193,area,1,0,260.3195252,5,77,62
"Gestich, 2016",-47.83805278,-21.97695,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5652,75,75,102,area,1,0,288.1933147,10,78,63
"Gestich, 2016",-47.93160833,-21.813775,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical and Subtropical Grasslands Savannas and Shrublands,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5657,75,75,94,area,1,0,360.6848662,15,79,64
"Gestich, 2016",-47.59541389,-21.72734444,Brazil,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2013,Tropical_and_suptropical_moist_broadleaf_forest,Alouatta caraya,Near Threatened,3,c,Alouatta_caraya_c,5648,75,75,66,area,1,0,362.5562514,6,80,65
Pyritz et al. 2010,-62.895966,-17.740141,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2358,75,75,1,area,0,495.4068798,11.09597748,1,81,66
Pyritz et al. 2010,-63.166785,-17.925957,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2362,75,75,40,area,0,96.9709789,54.35148293,5,82,67
Pyritz et al. 2010,-62.927585,-17.845909,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2359,75,75,259,area,1,0,249.1893249,2,83,68
Pyritz et al. 2010,-63.064902,-17.78048,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,1,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2360,75,75,74,area,1,0,266.3974933,3,84,69
Pyritz et al. 2010,-63.147683,-17.92593,Bolivia,Neotropics,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,0,2006,Tropical and Subtropical Dry Broadleaf Forest,Alouatta caraya,Near Threatened,3,e,Alouatta_caraya_e,2361,75,75,235,area,1,0,447.506414,4,85,70
